"Channel 1_x","Channel 1_y"
0,-1502.085275,
0.02036809921,-1499.543527,
0.04565501213,-1473.383172,
0.0719230175,-1463.086056,
0.1030840874,-1412.439484,
0.12987113,-1405.887542,
0.1586418152,-1350.352198,
0.1868209839,-1297.280197,
0.2147300243,-1240.386925,
0.2428219318,-1219.483954,
0.2745280266,-1108.72497,
0.3075420856,-1055.998397,
0.335793972,-967.1483494,
0.3630990982,-907.5931971,
0.3927958012,-827.8599618,
0.4252779484,-730.5503397,
0.4555168152,-615.7061467,
0.4891269207,-502.2432636,
0.5158882141,-391.9796093,
0.5441091061,-306.8701307,
0.5659599304,-217.1850601,
0.592124939,-167.503061,
0.6180531979,-33.01068399,
0.6464807987,24.40894002,
0.6723430157,97.51735048,
0.6975979805,227.7112103,
0.7257127762,279.4307453,
0.7529270649,397.8033219,
0.7790970802,538.2680086,
0.8038849831,566.9486696,
0.8300900459,695.5197539,
0.8576948643,725.436183,
0.8880569935,801.9823828,
0.918432951,926.0609956,
0.9503290653,997.1069436,
0.9789738655,1092.844486,
1.003333807,1167.010824,
1.030587912,1211.966,
1.059798956,1243.494153,
1.083662033,1315.595977,
1.113113165,1365.056357,
1.141365051,1406.514545,
1.172395945,1439.560359,
1.202982903,1467.890893,
1.23160696,1480.636359,
1.262177944,1482.744975,
1.293090105,1494.829223,
1.323640108,1501.971309,
1.352097034,1489.331928,
1.377588034,1491.719806,
1.401710987,1472.900638,
1.426920891,1433.39194,
1.448930979,1424.563459,
1.471837997,1367.163577,
1.494821072,1325.437518,
1.516823053,1286.664186,
1.540191889,1248.189805,
1.561818123,1211.729368,
1.584630013,1179.289531,
1.605289936,1119.89286,
1.628308058,1084.89992,
1.650985956,992.2523207,
1.675067902,964.8993861,
1.698767185,886.7641877,
1.724707127,801.8476013,
1.748376131,761.9173255,
1.77320075,658.9138327,
1.796789885,584.9880494,
1.822564125,563.6672407,
1.844977856,422.0622047,
1.874325037,322.6241661,
1.905091047,248.1224814,
1.934540033,148.775924,
1.958081961,13.98889886,
1.982674837,-59.62075261,
2.006572008,-143.8258781,
2.031099796,-210.5205801,
2.059207916,-294.6564404,
2.083866119,-383.2836333,
2.110288858,-489.3550188,
2.13297987,-556.8608857,
2.162945986,-676.4376793,
2.188215971,-771.317438,
2.214623928,-831.482322,
2.236757994,-894.6183824,
2.255722046,-970.7937281,
2.275975943,-1032.477846,
2.295639992,-1035.647936,
2.316864014,-1100.128888,
2.342411995,-1173.001965,
2.366739035,-1213.579524,
2.395881891,-1264.617447,
2.424757957,-1308.468217,
2.451034069,-1367.120614,
2.476660967,-1404.134095,
2.500344038,-1430.946612,
2.523673058,-1442.768037,
2.546241045,-1479.045162,
2.569018126,-1488.142828,
2.5925529,-1494.103347,
2.615034103,-1492.169706,
2.639203072,-1499.79803,
2.662550926,-1501.581699,
2.685219049,-1497.767092,
2.709894896,-1469.693109,
2.737972975,-1458.270557,
2.767262936,-1446.457719,
2.796500921,-1410.450968,
2.824009895,-1372.961464,
2.848531008,-1306.017898,
2.875485897,-1244.3177,
2.900596857,-1211.478413,
2.931432962,-1152.942859,
2.958670139,-1078.715982,
2.983047962,-1029.407905,
3.007768154,-949.2138749,
3.03757596,-905.0589891,
3.060507059,-819.2483097,
3.087258101,-722.7125796,
3.118235826,-622.5842851,
3.144361973,-544.7722617,
3.173220158,-460.9376324,
3.226969004,-354.0190199,
3.253008127,-168.3421034,
3.295983076,11.12395432,
3.32427907,53.65090178,
3.347077131,148.1039266,
3.369157791,254.7987431,
3.39231205,320.1359389,
3.415605068,378.8277892,
3.448246956,487.8001017,
3.474379063,598.4635258,
3.499947071,681.5939378,
3.523930073,755.4110437,
3.54658103,842.2533113,
3.568087101,890.2633947,
3.589370012,948.4187178,
3.613434076,1006.096216,
3.644233942,1085.256938,
3.670524836,1151.824245,
3.697139978,1201.848248,
3.721535921,1248.888096,
3.744987011,1281.121136,
3.770641804,1345.310701,
3.798585176,1388.378787,
3.826946974,1426.503427,
3.851568937,1447.597375,
3.871888161,1488.581354,
3.893290997,1479.188708,
3.912255049,1479.345531,
3.934376955,1493.234409,
3.954456091,1502.659227,
3.98466897,1502.904389,
4.016621113,1496.288668,
4.042088985,1473.55531,
4.069040775,1478.054744,
4.094181061,1435.921352,
4.117915154,1394.521658,
4.140240908,1366.767391,
4.160459042,1343.248911,
4.179728985,1308.455231,
4.19897294,1270.909683,
4.217905998,1236.171936,
4.237014055,1210.833484,
4.256243944,1158.773835,
4.279056787,1104.895215,
4.298618078,1073.114081,
4.318995953,1008.23165,
4.339505911,957.3761685,
4.359197855,899.7929088,
4.379768133,824.4223444,
4.400141954,779.7370469,
4.421386003,700.4253681,
4.440032005,639.2375788,
4.461706877,584.3531036,
4.484097004,509.8042038,
4.503714085,433.7218326,
4.524590015,355.8218232,
4.556401968,283.5265892,
4.587357998,187.8300755,
4.61819005,73.58610554,
4.648563862,-19.46688542,
4.678514004,-142.3304261,
4.709920883,-215.6189442,
4.783034086,-361.9197618,
4.814743996,-617.7028379,
4.84640789,-751.6701343,
4.877491951,-809.6882366,
4.910053015,-880.1723012,
4.939548969,-984.6895166,
4.969902039,-1041.773272,
4.995291948,-1126.056042,
5.017116785,-1167.305348,
5.03907609,-1233.699729,
5.061697006,-1263.610511,
5.082831144,-1332.767521,
5.101305008,-1352.101451,
5.122969151,-1365.720122,
5.144400835,-1399.9753,
5.16643095,-1417.440223,
5.188807964,-1456.757561,
5.210457087,-1446.353416,
5.230659008,-1473.854683,
5.251337051,-1493.178019,
5.275268078,-1503.979959,
5.30668211,-1498.285225,
5.336743832,-1501.207153,
5.367078781,-1479.616712,
